course_code,prerequisites,group_id
HP3901,CS2008|HP1000,prereq_group_158
HP4002,HP1000|HP1100,prereq_group_159
HP4002,CS2008|HP1000,prereq_group_160
HP4063,HP1000|HP1100|HP2300,prereq_group_161
HP4063,HP1000|HP1100|HP2500,prereq_group_162
HP4063,HP1000|HP1100|HP2600,prereq_group_163
HP4063,CS2008|HP1000|HP2600,prereq_group_164
HP4063,CS2008|HP1000|HP2300,prereq_group_165
HP4063,CS2008|HP1000|HP2500,prereq_group_166
HP4102,HP1000|HP1100|HP2700,prereq_group_167
HP4102,CS2008|HP1000|HP2700,prereq_group_168
HP4103,HP1000|HP1100,prereq_group_169
HP4103,CS2008|HP1000,prereq_group_170
HP4104,HP1000|HP1100|HP2700,prereq_group_171
HP4104,CS2008|HP1000|HP2700,prereq_group_172
HP4107,HP1000|HP1100,prereq_group_173
HP4107,CS2008|HP1000,prereq_group_174
HP4242,HP1000|HP1100|HP2400,prereq_group_175
HP4242,CS2008|HP1000|HP2400,prereq_group_176
HP4261,HP1000|HP2600,prereq_group_177
HP4262,HP1000|HP1100,prereq_group_178
HP4262,CS2008|HP1000,prereq_group_179
HP4274,HP1000|HP1100|HP2300,prereq_group_180
HP4274,CS2008|HP1000|HP2300,prereq_group_181
HP4281,HP1000|HP1100|HP2300,prereq_group_182
HP4281,HP1000|HP1100|HP2400,prereq_group_183
HP4281,CS2008|HP1000|HP2400,prereq_group_184
HP4281,CS2008|HP1000|HP2300,prereq_group_185
AD2101,AD1101,prereq_group_186
AD2102,AD1102,prereq_group_187
BA2203,AB1202,prereq_group_188
BE2601,AB1601,prereq_group_189
BE2602,AB1601,prereq_group_190
BA3201,BA2204,prereq_group_191
BA3202,AB1202|BA2203,prereq_group_192
BA3202,MH3500|MH3511,prereq_group_193
BE2502,AB1501,prereq_group_194
BE2502,BU5501,prereq_group_195
BE3201,AB1201,prereq_group_196
BE3201,BU5201,prereq_group_197
BH3604,AB1601,prereq_group_198
BL5304,AB1301,prereq_group_199
BF2201,AB1201,prereq_group_200
BF2201,BU5201,prereq_group_201
BF2206,AB1201,prereq_group_202
BF2206,BU5201,prereq_group_203
BF2207,AB1201,prereq_group_204
BF2207,BU5201,prereq_group_205
BF2209,BF2201,prereq_group_206
BF2213,AB1201,prereq_group_207
BF2213,BU5201,prereq_group_208
BF3201,AB1201,prereq_group_209
BF3201,BU5201,prereq_group_210
BF3204,BF2201,prereq_group_211
BF3207,BF2201,prereq_group_212
BC3405,AB1202,prereq_group_213
BC3409,BC2406,prereq_group_214
BC3411,AB1202,prereq_group_215
BC3415,BC2406,prereq_group_216
BF2101,AB1201|AD1101,prereq_group_217
BF2214,AB1201,prereq_group_218
BF2219,AB1201,prereq_group_219
BF2219,BU5201,prereq_group_220
BF2220,AB1201,prereq_group_221
BF2220,BU5201,prereq_group_222
BF2221,BF2219,prereq_group_223
BF2222,AB1201,prereq_group_224
BF2222,BU5201,prereq_group_225
BF2223,AB1201,prereq_group_226
BF2224,AB1201,prereq_group_227
BF2224,BU5201,prereq_group_228
BF3202,AB1201|BF2201,prereq_group_229
BF3203,AB1201,prereq_group_230
BF3203,BU5201,prereq_group_231
BF3215,AB1201,prereq_group_232
BF3215,BU5201,prereq_group_233
BF3216,AB1201|BF2219,prereq_group_234
BF3217,AB1201,prereq_group_235
BF3217,BU5201,prereq_group_236
BF3218,BF2219,prereq_group_237
BF3219,BF2219,prereq_group_238
BH2601,AB1202|AB1601,prereq_group_239
BH2603,AB1202|AB1601,prereq_group_240
BH2605,AB1202|AB1601,prereq_group_241
BH2607,AB1202|AB1601,prereq_group_242
BH3601,AB1601|BH2601,prereq_group_243
BF3212,BF2216,prereq_group_244
BF3212,MT1003|MT3006,prereq_group_245
BM2501,AB1501,prereq_group_246
BM2502,AB1202|AB1501,prereq_group_247
BM2502,AB1501|MH1820,prereq_group_248
BM2503,AB1501,prereq_group_249
BM2505,AB1501,prereq_group_250
BM2506,AB1501,prereq_group_251
BM2506,BU5501,prereq_group_252
BM2507,AB1202,prereq_group_253
BM2509,AB1501,prereq_group_254
BM2510,AB1202|AB1501,prereq_group_255
BM2510,AB1501|MH1820,prereq_group_256
BM2513,AB1501,prereq_group_257
BM2514,AB1501,prereq_group_258
BM2514,BU5501,prereq_group_259
BM2515,AB1202,prereq_group_260
BM3506,AB1501,prereq_group_261
BM3509,AB1501,prereq_group_262
BR2207,AB1202,prereq_group_263
BR3213,BR2210,prereq_group_264
CH2108,CH1104,prereq_group_265
CH2103,CB1117|CH1104,prereq_group_266
CH2107,CB1117,prereq_group_267
CH2140,CH1104|CH2108|CH2123,prereq_group_268
CH4703,CH4702,prereq_group_269
CH3111,CH1104|CH2112|CH2114,prereq_group_270
CE1107,CZ1103,prereq_group_271
