course_code,mutually_exclusive
HY3011,HY2012
HY3911,HY2912
HY3918,HY3018
MH1101,CY1601
MH1201,CY1602
MH1301,MH1812
MH2220,MH2200
MA4854,MA4872
HY3018,HY3010
MH2801,MH3101
MH1803,CY1602
PH3603,CM4054
IM2073,EE2073
SC5010,CE4032
HE4017,HE3111
ES5007,CY1007
BU5302,BL5302
CM5012,CM5002
CY1007,ES1007
CY1602,MH1200
BS1033,CM1002
ET5214,BE3201
AAB20D,ES2303
ET5213,BE3201
