course_code,prerequisites,group_id
CH2108,CH1104,prereq_group_158
CH2107,CB1117,prereq_group_159
CH4703,CH4702,prereq_group_160
CH3111,CH1104|CH2112|CH2114,prereq_group_161
SC1007,SC1003,prereq_group_162
SC2000,MH1810,prereq_group_163
CE2101,CE1107|MH1812,prereq_group_164
SC2001,MH1812|SC1007,prereq_group_165
SC2002,SC1003,prereq_group_166
SC2005,SC1006|SC1007,prereq_group_167
SC2104,SC1006,prereq_group_168
SC2107,SC1006,prereq_group_169
CE3102,CE1104,prereq_group_170
CE4064,CE2006,prereq_group_171
SC2008,SC1004|SC2000,prereq_group_172
SC3102,SC1004,prereq_group_173
CE4022,CE3005,prereq_group_174
CE4023,CE3005,prereq_group_175
CE4062,CE2005,prereq_group_176
CV0003,CV1014,prereq_group_177
CV2011,CV1011,prereq_group_178
CV2020,CV1012,prereq_group_179
MH2814,MH1810,prereq_group_180
CV3015,CV1012,prereq_group_181
CV4102,CV3012,prereq_group_182
CV4116,CV2020,prereq_group_183
CM3011,CM2021|CM2031,prereq_group_184
CM3021,CM2021,prereq_group_185
CM3031,CM2031,prereq_group_186
CM3041,CM2041,prereq_group_187
CM3062,CM2062,prereq_group_188
CM4062,CM2031,prereq_group_189
CM4012,CM3011|CM3021,prereq_group_190
CM4017,CM3041,prereq_group_191
CM4043,CM3041,prereq_group_192
CM4044,PS0001|PS0002,prereq_group_193
CM4063,CM3011,prereq_group_194
HA3010,HA1003,prereq_group_195
HC2015,HC1001,prereq_group_196
HC3014,HC1001,prereq_group_197
HC4016,HC3001,prereq_group_198
HC4020,HC1001,prereq_group_199
HC4058,HC1002|HC1051,prereq_group_200
HC4064,HC1001,prereq_group_201
HL1002,HL1001,prereq_group_202
HL2003,HL1001,prereq_group_203
HL2004,HL1001,prereq_group_204
HL2008,HL1001,prereq_group_205
HL2009,HL1001,prereq_group_206
HL2024,HL1001,prereq_group_207
HL2027,HL1001,prereq_group_208
HL2041,HL1001,prereq_group_209
HL2042,HL1001,prereq_group_210
HL2043,HL1001,prereq_group_211
HL3002,HL1001,prereq_group_212
HL3011,HL1001,prereq_group_213
HL3014,HL1001,prereq_group_214
HL3039,HL1001,prereq_group_215
HL3042,HL1001,prereq_group_216
HL3043,HL1001,prereq_group_217
HL4013,HL1001,prereq_group_218
HL4014,HL1001,prereq_group_219
HL4015,HL1001,prereq_group_220
HL4019,HL1001,prereq_group_221
HL4020,HL1001,prereq_group_222
HL4024,HL1001,prereq_group_223
HL4033,HL1001,prereq_group_224
HL4036,HL1001,prereq_group_225
HL4038,HL1001,prereq_group_226
HG2012,HG1001,prereq_group_227
HG2095,HG2020,prereq_group_228
HG2099,HG1001,prereq_group_229
HG2001,HG2003|HG2034,prereq_group_230
HG2002,HG1001,prereq_group_231
HG3005,HG1001,prereq_group_232
HG3043,HG2034,prereq_group_233
HG4011,HG1001,prereq_group_234
HG4013,HG1001|HG2001|HG2002,prereq_group_235
HG4031,HG2020,prereq_group_236
HG4033,HG2033,prereq_group_237
HG4052,HG2003,prereq_group_238
HG4062,HG1001|HG2020,prereq_group_239
HG4070,HG2003,prereq_group_240
CS2021,CS0204,prereq_group_241
CS2023,CS0204,prereq_group_242
CS2405,CS2400,prereq_group_243
CS4018,CS2021,prereq_group_244
CS4022,CS2405,prereq_group_245
CS4023,CS2044,prereq_group_246
CS4026,CS2025,prereq_group_247
CS4027,CS2025,prereq_group_248
CS4032,CS2058,prereq_group_249
CS4037,CS2008,prereq_group_250
